epoch,loss,val_loss
0,549.369489336289,344.4627452981199
1,453.1692258228796,297.31562549498244
2,424.3842602748724,275.43803192297435
3,407.81268389870036,259.8532039059576
4,395.25252610758236,267.6492351692608
5,386.54762520158664,247.6372092853799
6,379.4400952006891,243.20911579755355
7,374.4569136649503,239.8371323707633
8,369.3471203860155,234.08778596589772
9,365.48373716415307,236.3671616568886
10,362.57850306626403,234.22709812376613
11,359.63179891334926,221.33307619549126
12,356.6096954126862,225.86835266561462
13,354.5112013599045,219.88970602861698
14,352.7036272057301,218.72097234302683
15,350.367997409256,216.52368972812224
16,348.7336762432902,219.90053814068492
17,346.790322426139,221.30493413538284
18,344.97118649216543,219.36174942402764
19,343.57637863490544,217.792413976466
20,342.2187437762371,215.04251225686025
21,340.8013016361774,212.1076197092148
22,339.66219827090015,211.17183596245584
23,338.33061436659574,212.42089230107374
24,337.2228701147464,211.3131444049658
25,336.1996529150086,213.51748623323655
26,335.0826822336635,213.28039930080362
27,334.2949614212251,208.48433847416516
28,332.8689668636812,213.0823038698942
29,332.32812937353884,206.47977073048017
30,331.375391634131,210.77207416858363
31,330.0423184298584,211.01851278267947
32,329.46496018733126,205.1603350134159
33,328.5481468514592,207.03844953791364
34,327.3132036120529,207.5825766791485
35,326.65812213811455,208.87823249834673
36,325.72031561668354,208.36417587826855
37,325.5735642566431,206.73481808660708
