epoch,baseline_loss,disparity_loss,fx_loss,fy_loss,loss,pitch_loss,u0_loss,v0_loss,val_baseline_loss,val_disparity_loss,val_fx_loss,val_fy_loss,val_loss,val_pitch_loss,val_u0_loss,val_v0_loss,val_xWorld_loss,val_x_loss,val_yWorld_loss,val_y_loss,val_zWorld_loss,val_z_loss,xWorld_loss,x_loss,yWorld_loss,y_loss,zWorld_loss,z_loss
0,0.73309934,0.33109176,8.787717,8.833,131.00547567762874,7.185801,1.9869343,1.9716321,0.7468284,0.19306515,3.1719193,3.8011823,117.98709484003516,5.633897,1.6907082,1.8459438,31.618916,0.56060576,25.098904,0.4850958,42.74372,0.44007,31.414955,0.7103181,25.06477,0.7859609,42.498627,0.68438566
1,0.51788586,0.11788021,5.103637,5.1970525,116.33331903639431,3.3185358,0.7808723,0.80633044,0.6326922,0.12969667,20.39027,20.098116,151.198225653939,6.8062677,0.7376024,0.8485555,31.615017,0.61313164,25.097773,0.83336425,42.72929,0.70550454,31.419785,0.50830835,25.067265,0.55697,42.50578,0.4698925
2,0.38873872,0.078196034,2.6342506,2.7013013,108.84328430738601,2.0691059,0.41566652,0.43135983,0.29345652,0.040382113,1.9430107,1.8796706,106.58818435604822,1.4402924,0.22959426,0.37575597,31.602308,0.304796,25.091637,0.3829139,42.712685,0.28047025,31.426462,0.37262273,25.070713,0.4196643,42.50395,0.3509945
3,0.3185951,0.0624783,2.1789777,2.1902082,106.95568626100963,1.607843,0.33004048,0.35132095,0.7135123,1.4565805,45.46989,49.738453,254.0097246860973,24.57871,16.124783,14.2003975,31.608755,0.82902163,25.092035,1.0600698,42.70109,0.63237137,31.413872,0.3036086,25.066912,0.35237345,42.492252,0.28395933
4,0.25028354,0.05624176,1.5669749,1.6587901,105.13006452685877,1.3057923,0.2703339,0.27413595,31.142935,92.54433,2990.1467,3975.9238,11358.66506047713,1832.9156,1163.8469,1036.5376,31.609632,27.579409,25.093185,67.78,42.69729,35.164295,31.415625,0.2398803,25.06658,0.29279512,42.49458,0.23699963
5,0.21522294,0.05174143,1.4121242,1.4575251,104.40598047203018,1.2047267,0.20956387,0.26022112,0.18978077,0.09628045,1.731249,2.5586398,109.3997856572328,2.3652353,1.3427129,1.0595163,31.632416,0.25710374,25.095842,0.2138113,42.696262,0.168155,31.41656,0.20728937,25.06921,0.23035207,42.507244,0.198896
6,0.18069841,0.054417133,1.1055518,1.1449484,103.38598398231015,0.9625736,0.21329544,0.23329377,0.60452396,1.3282588,35.283085,39.479866,242.2998507947436,30.910479,17.5827,15.6676655,31.606863,0.3862313,25.090136,0.9580142,42.704662,0.6133105,31.420658,0.16942152,25.069384,0.183745,42.50321,0.15698256
7,0.16091774,0.048474606,1.0480022,1.1034099,103.05627440306993,0.85316294,0.19038068,0.21818908,3.2081754,7.330774,234.99681,251.80145,961.4306165753222,169.07288,92.645035,85.68238,31.628311,5.3825374,25.091024,6.23977,42.693462,5.221441,31.41644,0.15225986,25.067698,0.15915276,42.489895,0.1401414
