epoch,baseline_loss,disparity_loss,fx_loss,fy_loss,loss,pitch_loss,u0_loss,v0_loss,val_baseline_loss,val_disparity_loss,val_fx_loss,val_fy_loss,val_loss,val_pitch_loss,val_u0_loss,val_v0_loss,val_xWorld_loss,val_x_loss,val_yWorld_loss,val_y_loss,val_zWorld_loss,val_z_loss,xWorld_loss,x_loss,yWorld_loss,y_loss,zWorld_loss,z_loss
0,2.0337965,8.594606,51.089317,50.88565,257.0310295945363,49.14357,1.91474,2.0899081,2.2840805,16.655607,114.295654,113.92765,708.943067911353,202.1775,77.91247,86.305244,33.030083,4.545876,11.903225,1.2866099,43.199062,1.2105122,31.663067,1.2320086,12.593893,1.4354376,43.1316,1.269164
1,2.458937,6.012771,44.754925,44.811756,228.8474167471411,39.88821,0.7944558,0.85915774,13.242191,1010.53864,1846.03,2248.547,12908.127317386588,3634.4385,1725.2495,1776.5635,46.069534,1.4581957,551.5716,6.23219,54.781937,1.2405255,30.98749,1.2002485,11.617624,1.2913275,42.939674,1.231689
2,2.924989,0.5506419,28.880922,29.114588,178.04618791149153,29.062725,0.6649405,0.7070589,2.9420538,1.0548173,164.11101,116.74557,2464.551575209758,45.579895,149.39354,54.205883,629.31714,1.3464912,766.6254,1.0543859,534.28107,1.2372365,30.326122,1.3146094,9.294784,1.138267,42.829277,1.235295
3,2.9262662,0.45537245,13.117745,13.330177,131.33951108289568,16.696703,0.45612878,0.48655435,2.9442377,2.3878157,79.17118,58.055836,437.5569462060407,89.59277,49.96395,41.268353,32.53977,1.2565978,33.531734,1.0850291,44.345005,1.2381011,30.06091,1.3692327,7.208159,1.0706502,42.934578,1.2346786
4,2.9425943,0.41466308,14.362275,14.391352,130.84943355980494,14.408205,0.48192525,0.50818187,2.919845,2.1375184,401.96332,264.16544,2476.5493125947587,613.2688,345.15207,157.98018,58.97878,2.136783,551.82385,1.008081,72.57628,1.2395978,29.972351,1.3585573,7.1193385,1.0287749,42.665474,1.2333748
5,2.9158666,0.32520995,15.034077,15.112924,128.9378135916943,14.594566,0.40137884,0.3881606,2.910234,5.581633,482.02777,206.50993,2549.2860198848925,526.32513,282.40195,279.31104,60.712944,1.2976252,547.2932,1.0880903,151.46416,1.1309403,28.991611,1.128061,6.5983133,0.97924715,41.328495,1.188036
6,2.912698,0.2461231,15.936151,16.092035,130.69483105722898,15.119059,0.3611231,0.38195372,2.9174008,0.2281812,130.52069,44.138325,599.5504439304729,120.70221,79.99324,47.712414,30.196018,1.0831941,99.38392,1.0348125,40.51366,1.1275038,28.711248,1.1024177,6.853625,1.0046688,40.839172,1.1330699
7,2.90239,0.08273223,15.47843,15.464376,129.65554776592597,16.585812,0.33129606,0.3233592,2.8712158,0.020035375,365.578,336.41492,1437.7233573873818,276.80978,158.5122,107.15846,42.385532,6.4125543,85.27154,1.0248135,53.411674,1.1914626,28.131498,1.0812476,7.0267158,1.0637264,40.023468,1.1560267
8,2.8289328,0.036215957,9.914176,9.795706,113.55433323249187,16.730114,0.30066654,0.32604513,2.9596715,6.1528463,4601.4727,1324.5358,12695.685648301445,2253.4448,1950.9791,929.4107,325.98572,5.6742635,964.94135,0.98385835,320.74054,2.044174,27.293428,0.95903695,5.8536396,1.0045657,37.319427,1.196232
