epoch,baseline_loss,disparity_loss,fx_loss,fy_loss,loss,pitch_loss,u0_loss,v0_loss,val_baseline_loss,val_disparity_loss,val_fx_loss,val_fy_loss,val_loss,val_pitch_loss,val_u0_loss,val_v0_loss,val_xWorld_loss,val_x_loss,val_yWorld_loss,val_y_loss,val_zWorld_loss,val_z_loss,xWorld_loss,x_loss,yWorld_loss,y_loss,zWorld_loss,z_loss
0,0.5296096,0.21496134,8.86335,8.905124,54.90541506978124,5.9393425,1.6394347,1.6838101,1.0285289,1.8638004,28.84408,34.71402,150.4476093092492,26.519323,17.90277,17.857162,6.452748,0.9416249,6.5346413,1.2658857,5.5054536,0.9485741,8.824356,0.5226917,4.3816366,0.6776649,12.120813,0.5962762
1,0.21930847,0.0949391,2.9472015,3.0342104,20.000709739527316,2.188106,0.6815307,0.67745775,5.7070346,9.841432,160.1831,177.60515,885.9830607066216,171.54652,113.92327,114.06998,32.15682,4.1101995,41.483273,3.7471225,44.63492,6.5651264,3.1709166,0.21898231,1.7420555,0.34418577,4.4165807,0.2892289
2,0.16373187,0.06545395,2.0129893,2.0625215,14.25417922702666,1.5594074,0.4591172,0.4910803,0.18136646,0.074212916,2.564091,2.5075576,17.174066383751686,2.0347807,0.9909092,0.4322087,2.8318205,0.20282343,1.2975594,0.2504815,3.599939,0.2031915,2.3507178,0.1634129,1.27611,0.2391335,3.2073193,0.21710739
3,0.13478893,0.054903932,1.6275489,1.675153,11.703132868826488,1.217515,0.358531,0.35617524,4.4762807,9.01567,142.08238,209.50781,925.4870267016164,162.0297,96.10114,95.93079,81.801186,5.057557,48.18215,4.173993,62.583775,4.0875096,2.063443,0.13519739,1.042567,0.15602487,2.736289,0.15951084
4,0.1198782,0.053246755,1.373072,1.4287151,10.233267218550829,1.099913,0.34833774,0.3475375,1.0557564,1.7450536,16.968521,19.724821,130.29417888624045,21.7558,16.755844,17.725067,14.298074,0.77737445,8.496566,0.9549098,9.203511,0.7692701,1.7476368,0.12127931,0.9297692,0.13941774,2.3939266,0.13418493
5,0.09821603,0.045239877,1.1057923,1.1167209,8.322610311382451,0.9046747,0.28023115,0.29857427,1.227134,2.3330307,29.924246,34.543533,173.94113763445947,31.869108,23.058825,23.953253,8.06453,0.7487673,10.322155,0.50200504,6.23547,1.1356319,1.4252427,0.10210487,0.7728032,0.104871646,1.96539,0.10715317
6,0.08664752,0.04152186,0.9874113,0.9880523,7.45962091241461,0.8357376,0.24196762,0.2583443,6.9902687,11.809372,156.51962,169.17892,836.912759116566,139.61166,116.7379,115.47866,22.508875,5.1213374,71.80442,4.8666263,11.167499,5.198056,1.317165,0.09141044,0.69304574,0.08917098,1.7506037,0.094260536
7,0.08182256,0.04183907,0.9598033,0.96672374,7.091416132500773,0.7682211,0.23693877,0.24694203,1.5841397,2.679628,30.718477,44.593636,215.31127846375256,31.545527,26.463987,25.676117,19.998663,0.9761293,17.320381,1.5953059,10.683117,1.3729155,1.2534013,0.08633711,0.6573364,0.08450187,1.6376516,0.087881096
